day,price,petroleum_state,location
1986-11-26,0.407,REFINED,GULF_SHORES
1986-11-28,15,CRUDE,
1986-11-28,0.407,REFINED,GULF_SHORES
1986-11-28,0.412,REFINED,NY_HARBOR
1986-12-01,15.29,CRUDE,
1986-12-01,0.409,REFINED,GULF_SHORES
1986-12-01,0.414,REFINED,NY_HARBOR
1986-12-02,15.22,CRUDE,
1986-12-02,0.417,REFINED,NY_HARBOR
1986-12-02,0.408,REFINED,GULF_SHORES
1986-12-03,15.13,CRUDE,
1986-12-03,0.419,REFINED,NY_HARBOR
1986-12-03,0.403,REFINED,GULF_SHORES
1986-12-04,15.2,CRUDE,
1986-12-04,0.419,REFINED,NY_HARBOR
1986-12-04,0.4,REFINED,GULF_SHORES
1986-12-05,15.14,CRUDE,
1986-12-05,0.4,REFINED,GULF_SHORES
1986-12-05,0.418,REFINED,NY_HARBOR
1986-12-08,15.01,CRUDE,
1986-12-08,0.41,REFINED,NY_HARBOR
1986-12-08,0.396,REFINED,GULF_SHORES
1986-12-09,14.93,CRUDE,
1986-12-09,0.393,REFINED,GULF_SHORES
1986-12-09,0.41,REFINED,NY_HARBOR
1986-12-10,15.12,CRUDE,
1986-12-10,0.396,REFINED,GULF_SHORES
1986-12-10,0.416,REFINED,NY_HARBOR
1986-12-11,15.49,CRUDE,
1986-12-11,0.427,REFINED,NY_HARBOR
1986-12-11,0.405,REFINED,GULF_SHORES
1986-12-12,16.13,CRUDE,
1986-12-12,0.41,REFINED,GULF_SHORES
1986-12-12,0.432,REFINED,NY_HARBOR
1986-12-15,16.38,CRUDE,
1986-12-15,0.438,REFINED,NY_HARBOR
1986-12-15,0.414,REFINED,GULF_SHORES
1986-12-16,16.11,CRUDE,
1986-12-16,0.406,REFINED,GULF_SHORES
1986-12-16,0.43,REFINED,NY_HARBOR
1986-12-17,15.83,CRUDE,
1986-12-17,0.395,REFINED,GULF_SHORES
1986-12-17,0.429,REFINED,NY_HARBOR
1986-12-18,16.28,CRUDE,
1986-12-18,0.434,REFINED,NY_HARBOR
1986-12-18,0.407,REFINED,GULF_SHORES
1986-12-19,16.55,CRUDE,
1986-12-19,0.416,REFINED,GULF_SHORES
1986-12-19,0.444,REFINED,NY_HARBOR
1986-12-22,16.95,CRUDE,
1986-12-22,0.457,REFINED,NY_HARBOR
1986-12-22,0.428,REFINED,GULF_SHORES
1986-12-23,16.93,CRUDE,
1986-12-23,0.422,REFINED,GULF_SHORES
1986-12-23,0.454,REFINED,NY_HARBOR
1986-12-24,17.26,CRUDE,
1986-12-24,0.456,REFINED,NY_HARBOR
1986-12-24,0.425,REFINED,GULF_SHORES
1986-12-29,17.65,CRUDE,
1986-12-29,0.464,REFINED,NY_HARBOR
1986-12-29,0.439,REFINED,GULF_SHORES
1986-12-30,17.73,CRUDE,
1986-12-30,0.455,REFINED,GULF_SHORES
1986-12-30,0.457,REFINED,NY_HARBOR
1986-12-31,17.93,CRUDE,
1986-12-31,0.476,REFINED,NY_HARBOR
1986-12-31,0.47,REFINED,GULF_SHORES
1987-01-02,18.13,CRUDE,
1987-01-02,0.474,REFINED,GULF_SHORES
1987-01-02,0.484,REFINED,NY_HARBOR
1987-01-05,17.98,CRUDE,
1987-01-05,0.475,REFINED,NY_HARBOR
1987-01-05,0.466,REFINED,GULF_SHORES
1987-01-06,18.21,CRUDE,
1987-01-06,0.476,REFINED,GULF_SHORES
1987-01-06,0.484,REFINED,NY_HARBOR
1987-01-07,18.28,CRUDE,
1987-01-07,0.483,REFINED,NY_HARBOR
1987-01-07,0.476,REFINED,GULF_SHORES
1987-01-08,18.63,CRUDE,
1987-01-08,0.493,REFINED,NY_HARBOR
1987-01-08,0.487,REFINED,GULF_SHORES
1987-01-09,18.78,CRUDE,
1987-01-09,0.502,REFINED,GULF_SHORES
1987-01-09,0.506,REFINED,NY_HARBOR
1987-01-12,19,CRUDE,
1987-01-12,0.514,REFINED,GULF_SHORES
1987-01-12,0.515,REFINED,NY_HARBOR
1987-01-13,18.86,CRUDE,
1987-01-13,0.5,REFINED,GULF_SHORES
1987-01-13,0.501,REFINED,NY_HARBOR
1987-01-14,19.13,CRUDE,
1987-01-14,0.503,REFINED,GULF_SHORES
1987-01-14,0.505,REFINED,NY_HARBOR
1987-01-15,19.09,CRUDE,
1987-01-15,0.501,REFINED,NY_HARBOR
1987-01-15,0.496,REFINED,GULF_SHORES
1987-01-16,19.13,CRUDE,
1987-01-16,0.489,REFINED,GULF_SHORES
1987-01-16,0.492,REFINED,NY_HARBOR
1987-01-19,18.7,CRUDE,
1987-01-19,0.494,REFINED,GULF_SHORES
1987-01-19,0.484,REFINED,NY_HARBOR
1987-01-20,18.73,CRUDE,
1987-01-20,0.503,REFINED,GULF_SHORES
1987-01-20,0.495,REFINED,NY_HARBOR
1987-01-21,18.6,CRUDE,
1987-01-21,0.486,REFINED,NY_HARBOR
1987-01-21,0.491,REFINED,GULF_SHORES
1987-01-22,18.76,CRUDE,
1987-01-22,0.491,REFINED,NY_HARBOR
1987-01-22,0.499,REFINED,GULF_SHORES
1987-01-23,18.59,CRUDE,
1987-01-23,0.493,REFINED,GULF_SHORES
1987-01-23,0.481,REFINED,NY_HARBOR
1987-01-26,18.63,CRUDE,
1987-01-26,0.474,REFINED,NY_HARBOR
1987-01-26,0.487,REFINED,GULF_SHORES
1987-01-27,18.48,CRUDE,
1987-01-27,0.474,REFINED,NY_HARBOR
1987-01-27,0.491,REFINED,GULF_SHORES
1987-01-28,18.56,CRUDE,
1987-01-28,0.471,REFINED,NY_HARBOR
1987-01-28,0.49,REFINED,GULF_SHORES
1987-01-29,18.68,CRUDE,
1987-01-29,0.501,REFINED,GULF_SHORES
1987-01-29,0.482,REFINED,NY_HARBOR
1987-01-30,18.73,CRUDE,
1987-01-30,0.488,REFINED,NY_HARBOR
1987-01-30,0.504,REFINED,GULF_SHORES
1987-02-02,18.59,CRUDE,
1987-02-02,0.49,REFINED,NY_HARBOR
1987-02-02,0.496,REFINED,GULF_SHORES
1987-02-03,18.38,CRUDE,
1987-02-03,0.495,REFINED,GULF_SHORES
1987-02-03,0.488,REFINED,NY_HARBOR
1987-02-04,18.26,CRUDE,
1987-02-04,0.495,REFINED,NY_HARBOR
1987-02-04,0.495,REFINED,GULF_SHORES
1987-02-05,18.56,CRUDE,
1987-02-05,0.51,REFINED,GULF_SHORES
1987-02-05,0.506,REFINED,NY_HARBOR
1987-02-06,18.44,CRUDE,
1987-02-06,0.508,REFINED,GULF_SHORES
1987-02-06,0.501,REFINED,NY_HARBOR
1987-02-09,18.37,CRUDE,
1987-02-09,0.498,REFINED,NY_HARBOR
1987-02-09,0.501,REFINED,GULF_SHORES
1987-02-10,18.43,CRUDE,
1987-02-10,0.5,REFINED,GULF_SHORES
1987-02-10,0.496,REFINED,NY_HARBOR
1987-02-11,18.03,CRUDE,
1987-02-11,0.48,REFINED,NY_HARBOR
1987-02-11,0.488,REFINED,GULF_SHORES
1987-02-12,18.05,CRUDE,
1987-02-12,0.481,REFINED,NY_HARBOR
1987-02-12,0.487,REFINED,GULF_SHORES
1987-02-13,17.83,CRUDE,
1987-02-13,0.481,REFINED,GULF_SHORES
